"Date","Time","Open","High","Low","Close","Up","Down"
02/12/2014,0903,555.25,555.25,555.00,555.00,411000,1050000
02/12/2014,0904,555.00,555.00,555.00,555.00,0,299000
02/12/2014,0905,554.90,555.00,554.90,555.00,500000,749000
02/12/2014,0906,555.12,555.12,555.10,555.10,800000,350000
02/12/2014,0907,555.10,555.10,555.10,555.10,0,250000
02/12/2014,0908,555.00,555.00,555.00,555.00,0,159000
02/12/2014,0909,555.00,555.00,555.00,555.00,0,200000
02/12/2014,0910,555.15,555.15,555.15,555.15,1000000,0
02/12/2014,0911,555.25,555.45,555.25,555.45,3250000,0
02/12/2014,0912,555.35,555.55,555.35,555.55,5214000,1050000
02/12/2014,0913,555.70,555.70,555.60,555.70,3500000,500000
02/12/2014,0914,555.70,555.89,555.70,555.89,2350000,0
02/12/2014,0915,555.60,555.60,555.60,555.60,0,100000
02/12/2014,0916,555.41,555.50,555.25,555.25,450000,2000000
02/12/2014,0917,555.20,555.20,555.00,555.00,0,900000
02/12/2014,0919,555.20,555.20,554.79,554.79,1000000,1700000
02/12/2014,0920,554.70,554.70,554.55,554.55,0,700000
02/12/2014,0922,554.36,554.36,554.15,554.15,0,3450000
02/12/2014,0924,554.64,554.64,554.40,554.63,400000,1700000
02/12/2014,0925,554.64,554.74,554.40,554.40,2120000,2230000
02/12/2014,0926,554.60,554.60,554.60,554.60,140000,0
02/12/2014,0927,554.35,554.35,554.26,554.26,0,1000000
02/12/2014,0928,554.25,554.25,554.25,554.25,0,250000
02/12/2014,0930,554.50,554.60,554.17,554.23,1050000,2930000
02/12/2014,0931,554.35,554.54,554.35,554.54,600000,0
02/12/2014,0932,554.40,554.60,554.40,554.60,11950000,400000
02/12/2014,0933,554.60,554.80,554.41,554.41,4000000,2680000
02/12/2014,0934,554.55,554.55,554.00,554.00,1400000,9710000
02/12/2014,0935,554.35,554.50,554.10,554.10,7000000,2350000
02/12/2014,0936,554.29,554.40,554.10,554.10,9357000,16600000
02/12/2014,0937,554.20,554.20,554.11,554.15,2300000,2700000
02/12/2014,0938,554.20,554.30,554.20,554.27,800000,1650000
02/12/2014,0939,554.15,554.60,554.15,554.60,11350000,610000
02/12/2014,0940,554.59,554.75,554.50,554.75,3800000,700000
02/12/2014,0941,554.65,554.65,554.25,554.25,300000,4300000
02/12/2014,0942,554.21,554.40,554.21,554.31,450000,350000
02/12/2014,0943,554.27,554.27,553.75,553.80,3243000,12300000
02/12/2014,0944,553.80,554.00,553.55,553.60,2942000,6800000
02/12/2014,0945,554.00,554.00,553.78,553.78,5400000,3000000
02/12/2014,0946,553.90,554.15,553.88,554.15,17180000,500000
02/12/2014,0947,554.20,554.25,554.18,554.25,1400000,1000000
02/12/2014,0948,554.05,554.05,553.78,553.78,0,10600000
02/12/2014,0949,553.78,553.78,553.41,553.41,2150000,8300000
02/12/2014,0950,553.50,553.50,553.35,553.35,4000000,2600000
02/12/2014,0951,553.40,553.50,553.08,553.50,2400000,2450000
02/12/2014,0952,553.55,553.55,553.15,553.20,2500000,520000
02/12/2014,0953,553.39,553.60,553.30,553.49,13950000,1700000
02/12/2014,0954,553.30,553.65,553.30,553.63,1250000,550000
02/12/2014,0955,553.50,553.75,553.50,553.75,1420000,1000000
02/12/2014,0956,553.70,553.80,553.50,553.80,3600000,717000
02/12/2014,0957,553.80,553.88,553.80,553.88,7050000,1250000
02/12/2014,0959,553.80,553.88,553.56,553.56,800000,1350000
02/12/2014,1000,553.50,553.55,553.45,553.47,930000,983000
02/12/2014,1002,553.45,553.54,553.45,553.45,200000,350000
02/12/2014,1003,553.37,553.50,553.37,553.50,650000,500000
02/12/2014,1004,553.37,553.49,553.30,553.30,380000,450000
02/12/2014,1005,553.50,553.50,553.20,553.26,660000,2060000
02/12/2014,1006,553.40,553.75,553.40,553.75,6347000,700000
02/12/2014,1007,553.60,553.70,553.60,553.70,400000,650000
02/12/2014,1008,553.70,554.14,553.70,554.14,10800000,0
02/12/2014,1009,554.05,554.05,553.80,553.80,0,922000
02/12/2014,1010,553.66,553.66,553.26,553.34,600000,5180000
02/12/2014,1011,553.34,553.67,553.15,553.67,1986000,750000
02/12/2014,1012,553.50,553.59,553.40,553.59,400000,228000
02/12/2014,1013,553.50,553.50,553.50,553.50,0,550000
02/12/2014,1014,553.50,553.70,553.46,553.48,500000,750000
02/12/2014,1015,553.75,553.80,553.60,553.80,3650000,180000
02/12/2014,1016,553.78,554.15,553.75,554.15,2650000,1800000
02/12/2014,1017,554.15,554.24,554.05,554.15,2772000,200000
02/12/2014,1018,554.00,554.15,554.00,554.15,2850000,2580000
02/12/2014,1019,554.15,554.30,554.15,554.30,7350000,0
02/12/2014,1020,554.25,554.28,554.20,554.28,6000000,5500000
02/12/2014,1021,554.30,554.35,554.15,554.35,4750000,400000
02/12/2014,1022,554.33,554.35,554.25,554.29,1590000,3730000
02/12/2014,1023,554.25,554.25,553.80,553.80,800000,1200000
02/12/2014,1024,553.80,553.90,553.55,553.56,750000,8600000
02/12/2014,1025,553.80,553.83,553.62,553.75,1990000,3350000
02/12/2014,1026,553.75,553.95,553.61,553.75,5221000,800000
02/12/2014,1027,553.75,553.84,553.75,553.84,340000,750000
02/12/2014,1028,553.78,553.90,553.70,553.80,4780000,850000
02/12/2014,1029,553.85,553.90,553.62,553.90,3790000,2400000
02/12/2014,1030,553.90,554.10,553.85,553.94,950000,1400000
02/12/2014,1031,553.90,554.02,553.90,554.02,2285000,500000
02/12/2014,1032,554.08,554.18,554.05,554.15,5350000,1250000
02/12/2014,1033,554.19,554.20,553.90,553.90,2103000,4250000
02/12/2014,1034,554.12,554.29,554.00,554.29,3163000,250000
02/12/2014,1035,554.15,554.49,554.15,554.35,550000,400000
02/12/2014,1036,554.30,554.30,554.20,554.30,1100000,1320000
02/12/2014,1037,554.30,554.30,554.15,554.30,5250000,1000000
02/12/2014,1038,554.30,554.60,554.15,554.60,992000,200000
02/12/2014,1039,554.20,554.30,554.10,554.10,250000,1100000
02/12/2014,1041,554.15,554.15,553.90,553.90,2000000,6600000
02/12/2014,1042,553.95,554.33,553.95,554.33,2129000,0
02/12/2014,1043,554.24,554.25,554.15,554.15,200000,800000
02/12/2014,1044,554.24,554.24,554.12,554.12,290000,1650000
02/12/2014,1045,554.24,554.24,554.24,554.24,580000,0
02/12/2014,1046,554.20,554.22,554.08,554.15,980000,3200000
02/12/2014,1047,554.01,554.09,553.95,554.05,840000,2290000
02/12/2014,1048,554.10,554.18,553.98,553.98,2500000,650000
02/12/2014,1049,553.98,554.00,553.98,554.00,890000,350000
02/12/2014,1050,554.00,554.03,553.56,553.62,1413000,6240000
02/12/2014,1051,553.65,553.75,553.51,553.60,11264000,2210000
02/12/2014,1052,553.98,553.98,553.60,553.70,2200000,638000
02/12/2014,1053,553.85,553.85,553.18,553.22,13662000,54590000
02/12/2014,1054,553.20,553.25,553.07,553.16,3020000,5390000
02/12/2014,1055,553.20,553.21,552.90,552.95,11700000,3830000
02/12/2014,1056,552.95,552.95,552.60,552.70,3850000,16100000
02/12/2014,1057,552.70,552.71,552.70,552.71,194000,1000000
02/12/2014,1058,552.71,552.71,552.50,552.50,825000,20750000
02/12/2014,1059,552.55,552.65,552.50,552.55,4560000,1700000
02/12/2014,1100,552.60,552.65,552.40,552.40,3900000,9600000
02/12/2014,1101,552.40,552.50,552.10,552.10,7740000,15960000
02/12/2014,1102,552.11,552.35,552.00,552.00,4230000,15665000
02/12/2014,1103,551.98,552.29,551.70,551.73,1960000,11750000
02/12/2014,1104,551.65,551.65,551.21,551.50,500000,2600000
02/12/2014,1105,551.55,551.55,551.26,551.50,5479000,3390000
02/12/2014,1106,551.70,552.20,551.50,552.20,2900000,1381000
02/12/2014,1107,552.19,552.19,551.87,552.00,932000,800000
02/12/2014,1108,551.91,552.25,551.90,552.25,2000000,1850000
02/12/2014,1109,552.20,552.20,552.00,552.00,0,1300000
02/12/2014,1110,552.06,552.06,551.95,551.95,100000,1170000
02/12/2014,1111,552.19,552.25,551.96,552.05,1290000,930000
02/12/2014,1112,552.19,552.19,552.01,552.01,2000000,1216000
02/12/2014,1113,552.06,552.20,551.85,551.85,730000,10890000
02/12/2014,1114,551.80,551.81,551.70,551.71,350000,1100000
02/12/2014,1115,551.90,551.90,551.58,551.62,4840000,5350000
02/12/2014,1116,551.71,551.90,551.61,551.90,1250000,100000
02/12/2014,1117,551.99,552.05,551.99,552.00,3000000,1000000
02/12/2014,1118,551.95,551.99,551.80,551.90,6040000,7000000
02/12/2014,1119,551.82,551.82,551.75,551.80,1000000,650000
02/12/2014,1120,551.90,551.90,551.90,551.90,1000000,0
02/12/2014,1121,551.86,551.86,551.76,551.81,1600000,1883000
02/12/2014,1122,551.85,551.87,551.76,551.76,1150000,7656000
02/12/2014,1123,551.80,551.80,551.58,551.65,4600000,6000000
02/12/2014,1124,551.75,551.75,551.50,551.66,700000,2172000
02/12/2014,1125,551.50,551.56,551.35,551.35,3609000,10150000
02/12/2014,1126,551.26,551.26,551.00,551.00,4400000,17506000
02/12/2014,1127,550.98,551.25,550.98,551.15,400000,12200000
02/12/2014,1128,551.15,551.15,551.01,551.10,1000000,1750000
02/12/2014,1129,551.30,551.44,551.18,551.44,6050000,700000
02/12/2014,1131,551.19,551.40,551.18,551.35,3000000,1400000
02/12/2014,1132,551.35,551.40,551.35,551.40,2668000,390000
02/12/2014,1133,551.26,551.30,551.19,551.26,714000,1500000
02/12/2014,1134,551.35,551.40,551.18,551.18,1108000,1990000
02/12/2014,1135,551.22,551.25,551.05,551.25,1750000,1800000
02/12/2014,1136,551.12,551.30,551.10,551.30,332000,1168000
02/12/2014,1137,551.39,551.65,551.39,551.65,3910000,1100000
02/12/2014,1138,551.55,551.65,551.55,551.65,5500000,1150000
02/12/2014,1139,551.65,551.65,551.65,551.65,2350000,0
02/12/2014,1140,551.70,551.75,551.50,551.55,3100000,1550000
02/12/2014,1141,551.55,551.55,551.55,551.55,0,500000
02/12/2014,1142,551.55,551.55,551.45,551.45,0,1640000
02/12/2014,1143,551.55,551.55,551.55,551.55,3550000,0
02/12/2014,1144,551.50,551.51,551.50,551.50,118000,2600000
02/12/2014,1145,551.50,551.50,551.43,551.43,150000,1400000
02/12/2014,1146,551.43,551.44,551.40,551.40,2950000,5250000
02/12/2014,1147,551.40,551.40,551.40,551.40,0,300000
02/12/2014,1148,551.35,551.46,551.30,551.40,700000,2600000
02/12/2014,1149,551.40,551.40,551.25,551.25,600000,4030000
02/12/2014,1150,551.25,551.30,551.25,551.25,500000,1400000
02/12/2014,1151,551.37,551.37,551.20,551.24,850000,2800000
02/12/2014,1152,551.24,551.30,551.15,551.15,7650000,12700000
02/12/2014,1153,551.20,551.20,551.11,551.11,250000,350000
02/12/2014,1154,551.30,551.49,551.26,551.30,650000,650000
02/12/2014,1155,551.21,551.30,551.21,551.22,875000,1010000
02/12/2014,1156,551.30,551.30,551.30,551.30,1000000,0
02/12/2014,1157,551.39,551.60,551.39,551.40,6440000,907000
02/12/2014,1158,551.50,551.74,551.50,551.60,3525000,200000
02/12/2014,1159,551.74,551.74,551.59,551.59,200000,900000
02/12/2014,1200,551.50,551.50,551.40,551.45,250000,1972000
